replicate	generation	lineage	n_individuals	mean_fitness	mean_phenotype	sd_phenotype	mean_optimum
pl_sweep	15	pdav-N	50000	0.998068	0.00128819	0.100296	-0.0
pl_sweep	15	mixed	30000	0.999651	0.000166001	0.100048	0.0
pl_sweep	15	rot	20000	0.999473	-0.00106695	0.0998542	0.0
pl_sweep	16	pdav-N	50000	0.998079	-0.000485278	0.100012	-0.0
pl_sweep	16	mixed	30000	0.99965	0.000523682	0.1001	0.0
pl_sweep	16	rot	20000	0.999465	-0.000881699	0.100601	0.0
pl_sweep	17	pdav-N	50000	0.998088	4.8559e-05	0.0997915	-0.0
pl_sweep	17	mixed	30000	0.999653	0.000149645	0.0997156	0.0
pl_sweep	17	rot	20000	0.999472	-0.000141907	0.0999711	0.0
pl_sweep	18	pdav-N	50000	0.998096	0.000390471	0.0995713	-0.0
pl_sweep	18	mixed	30000	0.999649	-1.34436e-05	0.100331	0.0
pl_sweep	18	rot	20000	0.999471	0.000578635	0.100028	0.0
pl_sweep	19	pdav-N	50000	0.998081	0.000222522	0.0999598	-0.0
pl_sweep	19	mixed	30000	0.99965	5.78958e-05	0.100153	0.0
pl_sweep	19	rot	20000	0.999472	0.000745134	0.0999715	0.0
pl_sweep	20	pdav-N	50000	0.998087	-0.00020026	0.0998047	-0.0
pl_sweep	20	mixed	30000	0.99965	-0.000460252	0.100116	0.0
pl_sweep	20	rot	20000	0.999469	-0.000107319	0.100287	0.0
pl_sweep	21	pdav-N	50000	0.998081	0.000127989	0.0999607	-0.0
pl_sweep	21	mixed	30000	0.99965	0.000635765	0.100142	0.0
pl_sweep	21	rot	20000	0.999474	0.000523386	0.099788	0.0
pl_sweep	22	pdav-N	50000	0.998075	0.000763499	0.100104	-0.0
pl_sweep	22	mixed	30000	0.999649	-0.000575763	0.100236	0.0
pl_sweep	22	rot	20000	0.99947	-0.000573001	0.100178	0.0
pl_sweep	23	pdav-N	50000	0.998075	9.5589e-05	0.100104	-0.0
pl_sweep	23	mixed	30000	0.999651	0.0008669	0.0999867	0.0
pl_sweep	23	rot	20000	0.999475	0.000569935	0.0996732	0.0
pl_sweep	24	pdav-N	50000	0.998081	1.51284e-05	0.0999639	-0.0
pl_sweep	24	mixed	30000	0.999653	-0.000252912	0.0997415	0.0
pl_sweep	24	rot	20000	0.999458	0.00029145	0.101278	0.0
pl_sweep	25	pdav-N	50000	0.998092	0.000315928	0.0996615	-0.0
pl_sweep	25	mixed	30000	0.99965	-0.000972419	0.1001	0.0
pl_sweep	25	rot	20000	0.99947	0.000701987	0.100152	0.0
pl_sweep	26	pdav-N	50000	0.998074	-0.000206919	0.100138	-0.0
pl_sweep	26	mixed	30000	0.999652	0.00027641	0.0998705	0.0
pl_sweep	26	rot	20000	0.999465	0.000199999	0.100677	0.0
pl_sweep	27	pdav-N	50000	0.998074	-0.000805742	0.100135	-0.0
pl_sweep	27	mixed	30000	0.999652	0.000435281	0.0998043	0.0
pl_sweep	27	rot	20000	0.99947	0.000280119	0.100156	0.0
pl_sweep	28	pdav-N	50000	0.99809	0.000250273	0.099726	-0.0
pl_sweep	28	mixed	30000	0.99965	-0.00110657	0.100096	0.0
pl_sweep	28	rot	20000	0.999472	-0.000746578	0.0999303	0.0
pl_sweep	29	pdav-N	50000	0.998087	0.000318611	0.099811	-0.0
pl_sweep	29	mixed	30000	0.999654	0.000758668	0.0995884	0.0
pl_sweep	29	rot	20000	0.99948	0.000461848	0.0991966	0.0
pl_sweep	30	pdav-N	50000	0.998069	0.000188649	0.100281	-0.0
pl_sweep	30	mixed	30000	0.999652	-0.000470143	0.0999117	0.0
pl_sweep	30	rot	20000	0.999472	7.13498e-06	0.0999304	0.0
pl_sweep	31	pdav-N	50000	0.998076	0.000216792	0.100092	-0.0
pl_sweep	31	mixed	30000	0.999656	0.000160589	0.0993033	0.0
pl_sweep	31	rot	20000	0.999475	6.45736e-06	0.0997148	0.0
pl_sweep	32	pdav-N	50000	0.998086	0.000518811	0.0998283	-0.0
pl_sweep	32	mixed	30000	0.999653	-0.00062488	0.0997363	0.0
pl_sweep	32	rot	20000	0.999473	-0.00116426	0.0998328	0.0
pl_sweep	33	pdav-N	50000	0.998086	0.000374048	0.0998354	-0.0
pl_sweep	33	mixed	30000	0.99965	0.00030478	0.100148	0.0
pl_sweep	33	rot	20000	0.999475	-0.00100847	0.0997078	0.0
pl_sweep	34	pdav-N	50000	0.998077	-0.000216387	0.100069	-0.0
pl_sweep	34	mixed	30000	0.999651	0.00105392	0.100012	0.0
pl_sweep	34	rot	20000	0.999479	0.000852357	0.099334	0.0
pl_sweep	35	pdav-N	50000	0.998079	0.000243138	0.100023	-0.0
pl_sweep	35	mixed	30000	0.999651	-0.000420274	0.0999851	0.0
pl_sweep	35	rot	20000	0.999466	-0.00110583	0.100563	0.0
pl_sweep	36	pdav-N	50000	0.99808	-9.68008e-05	0.0999828	-0.0
pl_sweep	36	mixed	30000	0.99965	-0.00065462	0.100116	0.0
pl_sweep	36	rot	20000	0.99946	0.00111081	0.10108	0.0
pl_sweep	37	pdav-N	50000	0.998064	-0.000215766	0.100402	-0.0
pl_sweep	37	mixed	30000	0.999652	2.73489e-05	0.099793	0.0
pl_sweep	37	rot	20000	0.999473	0.000194766	0.0998902	0.0
pl_sweep	38	pdav-N	50000	0.998091	-0.000173638	0.0996954	-0.0
pl_sweep	38	mixed	30000	0.999654	-0.000649402	0.0994981	0.0
pl_sweep	38	rot	20000	0.999471	-0.00120691	0.100096	0.0
pl_sweep	39	pdav-N	50000	0.998061	-0.000520569	0.100475	-0.0
pl_sweep	39	mixed	30000	0.999652	0.00125757	0.0998312	0.0
pl_sweep	39	rot	20000	0.999476	-3.365e-05	0.0996351	0.0
pl_sweep	40	pdav-N	50000	0.998055	-6.59678e-05	0.100641	-0.0
pl_sweep	40	mixed	30000	0.99965	-3.89637e-05	0.100138	0.0
pl_sweep	40	rot	20000	0.999476	-0.000527244	0.0995872	0.0
pl_sweep	41	pdav-N	50000	0.998065	-0.00103251	0.100364	-0.0
pl_sweep	41	mixed	30000	0.999648	-0.000442478	0.100418	0.0
pl_sweep	41	rot	20000	0.999483	-6.99283e-05	0.0989525	0.0
pl_sweep	42	pdav-N	50000	0.998097	0.000540883	0.0995275	-0.0
pl_sweep	42	mixed	30000	0.999643	0.000243724	0.101059	0.0
pl_sweep	42	rot	20000	0.999475	-0.000593029	0.0996399	0.0
pl_sweep	43	pdav-N	50000	0.998074	0.000744407	0.100153	-0.0
pl_sweep	43	mixed	30000	0.999652	1.08564e-05	0.0997919	0.0
pl_sweep	43	rot	20000	0.999473	0.000699654	0.0998356	0.0
pl_sweep	44	pdav-N	50000	0.998077	0.000236351	0.100073	-0.0
pl_sweep	44	mixed	30000	0.99965	-0.000434747	0.100069	0.0
pl_sweep	44	rot	20000	0.999483	-0.000180668	0.0988908	0.0
pl_sweep	45	pdav-N	50000	0.998082	-0.000154803	0.099928	-0.0
pl_sweep	45	mixed	30000	0.999653	-0.000390733	0.0997466	0.0
pl_sweep	45	rot	20000	0.999474	-0.00106367	0.0997623	0.0
pl_sweep	46	pdav-N	50000	0.99808	0.000137488	0.0999863	-0.0
pl_sweep	46	mixed	30000	0.999648	0.000139234	0.100405	0.0
pl_sweep	46	rot	20000	0.999465	-4.16074e-05	0.100611	0.0
pl_sweep	47	pdav-N	50000	0.998068	-9.89539e-05	0.100287	-0.0
pl_sweep	47	mixed	30000	0.999649	-0.000216812	0.10022	0.0
pl_sweep	47	rot	20000	0.999477	0.000598656	0.0995058	0.0
pl_sweep	48	pdav-N	50000	0.998041	0.000244915	0.101006	-0.0
pl_sweep	48	mixed	30000	0.999649	0.000121621	0.100241	0.0
pl_sweep	48	rot	20000	0.999473	-0.00050277	0.0998488	0.0
pl_sweep	49	pdav-N	50000	0.99807	-0.000236662	0.100253	-0.0
pl_sweep	49	mixed	30000	0.999657	0.00059005	0.0991799	0.0
pl_sweep	49	rot	20000	0.999466	0.00112746	0.100532	0.0
pl_sweep	50	pdav-N	50000	0.998056	-0.000490838	0.100597	-0.0
pl_sweep	50	mixed	30000	0.999652	-0.000160767	0.0999043	0.0
pl_sweep	50	rot	20000	0.999472	4.00016e-05	0.0999849	0.0
pl_sweep	51	pdav-N	50000	0.998087	-0.000485657	0.0997941	-0.0
pl_sweep	51	mixed	30000	0.999653	1.27817e-05	0.0996746	0.0
pl_sweep	51	rot	20000	0.999474	-0.00075996	0.0997965	0.0
pl_sweep	52	pdav-N	50000	0.998101	-0.000223452	0.0994507	-0.0
pl_sweep	52	mixed	30000	0.999649	0.000128463	0.100309	0.0
pl_sweep	52	rot	20000	0.999467	-0.000496358	0.100491	0.0
pl_sweep	53	pdav-N	50000	0.998072	-1.28196e-06	0.100207	-0.0
pl_sweep	53	mixed	30000	0.999655	-0.000563528	0.0994221	0.0
pl_sweep	53	rot	20000	0.99948	0.000426067	0.0992083	0.0
pl_sweep	54	pdav-N	50000	0.998054	0.000123797	0.100665	-0.0
pl_sweep	54	mixed	30000	0.999656	0.000127368	0.0992727	0.0
pl_sweep	54	rot	20000	0.999469	0.00033388	0.100286	0.0
pl_sweep	55	pdav-N	50000	0.998087	-0.000265917	0.0998059	-0.0
pl_sweep	55	mixed	30000	0.999651	0.000612556	0.0999697	0.0
pl_sweep	55	rot	20000	0.999474	-8.32714e-05	0.0998071	0.0
pl_sweep	56	pdav-N	50000	0.998095	-0.000795018	0.0995997	-0.0
pl_sweep	56	mixed	30000	0.999646	0.0007235	0.100703	0.0
pl_sweep	56	rot	20000	0.999468	0.000121952	0.100367	0.0
pl_sweep	57	pdav-N	50000	0.99809	-0.000284731	0.0997161	-0.0
pl_sweep	57	mixed	30000	0.999652	-0.000828388	0.0999031	0.0
pl_sweep	57	rot	20000	0.999478	-8.53893e-06	0.0994165	0.0
pl_sweep	58	pdav-N	50000	0.998073	-0.000352721	0.10016	-0.0
pl_sweep	58	mixed	30000	0.99965	0.000614378	0.100202	0.0
pl_sweep	58	rot	20000	0.999469	-8.49959e-05	0.100241	0.0
pl_sweep	59	pdav-N	50000	0.998081	0.000228721	0.0999653	-0.0
pl_sweep	59	mixed	30000	0.999656	-0.000257877	0.0993169	0.0
pl_sweep	59	rot	20000	0.999466	-0.000158294	0.100584	0.0
pl_sweep	60	pdav-N	50000	0.998089	0.000695812	0.0997547	-0.0
pl_sweep	60	mixed	30000	0.999645	0.000285032	0.100796	0.0
pl_sweep	60	rot	20000	0.999469	-9.80092e-05	0.100273	0.0
pl_sweep	61	pdav-N	50000	0.998065	-0.000334261	0.100386	-0.0
pl_sweep	61	mixed	30000	0.999651	1.41578e-05	0.100015	0.0
pl_sweep	61	rot	20000	0.999468	-0.000896144	0.100337	0.0
pl_sweep	62	pdav-N	50000	0.99808	2.70214e-05	0.0999866	-0.0
pl_sweep	62	mixed	30000	0.999653	0.00123876	0.0997062	0.0
pl_sweep	62	rot	20000	0.999472	-0.000521327	0.0999535	0.0
pl_sweep	63	pdav-N	50000	0.998093	0.000105849	0.099645	-0.0
pl_sweep	63	mixed	30000	0.99965	0.000575299	0.100201	0.0
pl_sweep	63	rot	20000	0.999485	0.000640313	0.0986975	0.0
pl_sweep	64	pdav-N	50000	0.998085	-0.000572529	0.0998665	-0.0
pl_sweep	64	mixed	30000	0.999653	-0.000654345	0.0996915	0.0
pl_sweep	64	rot	20000	0.999464	2.55272e-05	0.100713	0.0
pl_sweep	65	pdav-N	50000	0.998091	0.000217613	0.0997049	-0.0
pl_sweep	65	mixed	30000	0.999655	0.00100658	0.0993551	0.0
pl_sweep	65	rot	20000	0.999474	-0.000287889	0.0998143	0.0
pl_sweep	66	pdav-N	50000	0.998075	-0.000231392	0.100115	-0.0
pl_sweep	66	mixed	30000	0.999649	-5.42533e-05	0.100235	0.0
pl_sweep	66	rot	20000	0.999468	-0.000560521	0.100306	0.0
pl_sweep	67	pdav-N	50000	0.998073	2.5586e-05	0.100182	-0.0
pl_sweep	67	mixed	30000	0.999656	0.000462276	0.099347	0.0
pl_sweep	67	rot	20000	0.999477	-0.00105316	0.0994841	0.0
pl_sweep	68	pdav-N	50000	0.998094	0.000450337	0.0996105	-0.0
pl_sweep	68	mixed	30000	0.999651	-0.000308013	0.100036	0.0
pl_sweep	68	rot	20000	0.999473	-5.38959e-05	0.0998611	0.0
pl_sweep	69	pdav-N	50000	0.99809	-2.72973e-05	0.0997249	-0.0
pl_sweep	69	mixed	30000	0.999654	-4.74287e-05	0.0995016	0.0
pl_sweep	69	rot	20000	0.999469	0.000555476	0.100237	0.0
pl_sweep	70	pdav-N	50000	0.998094	4.99925e-05	0.0996215	-0.0
pl_sweep	70	mixed	30000	0.999649	-0.000235049	0.100292	0.0
pl_sweep	70	rot	20000	0.99947	0.00152645	0.100152	0.0
pl_sweep	71	pdav-N	50000	0.99809	-0.000438326	0.0997216	-0.0
pl_sweep	71	mixed	30000	0.999653	0.000249445	0.0996872	0.0
pl_sweep	71	rot	20000	0.999485	0.000602492	0.0987628	0.0
pl_sweep	72	pdav-N	50000	0.998077	-0.000143739	0.100067	-0.0
pl_sweep	72	mixed	30000	0.999651	0.000726471	0.100018	0.0
pl_sweep	72	rot	20000	0.999466	0.000483181	0.100543	0.0
pl_sweep	73	pdav-N	50000	0.998084	-6.23202e-05	0.0998911	-0.0
pl_sweep	73	mixed	30000	0.999651	-0.000555191	0.100033	0.0
pl_sweep	73	rot	20000	0.999472	-0.000518709	0.099923	0.0
pl_sweep	74	pdav-N	50000	0.998076	0.000633304	0.100086	-0.0
pl_sweep	74	mixed	30000	0.999649	-0.000603772	0.100325	0.0
pl_sweep	74	rot	20000	0.999464	4.85669e-05	0.100694	0.0
pl_sweep	75	pdav-N	50000	0.998082	-2.73325e-05	0.0999358	-0.0
pl_sweep	75	mixed	30000	0.99965	-0.000938343	0.100183	0.0
pl_sweep	75	rot	20000	0.999472	0.000576671	0.100012	0.0
pl_sweep	76	pdav-N	50000	0.998059	0.000494511	0.100542	-0.0
pl_sweep	76	mixed	30000	0.999652	0.000700012	0.0998957	0.0
pl_sweep	76	rot	20000	0.999472	-0.000311832	0.0999517	0.0
pl_sweep	77	pdav-N	50000	0.998063	0.000141726	0.100431	-0.0
pl_sweep	77	mixed	30000	0.99965	0.000585841	0.100109	0.0
pl_sweep	77	rot	20000	0.999477	-8.50679e-05	0.0994955	0.0
pl_sweep	78	pdav-N	50000	0.998059	-0.000390831	0.100523	-0.0
pl_sweep	78	mixed	30000	0.99965	0.00122929	0.100062	0.0
pl_sweep	78	rot	20000	0.999483	0.000330012	0.0989216	0.0
pl_sweep	79	pdav-N	50000	0.998066	0.000695161	0.100357	-0.0
pl_sweep	79	mixed	30000	0.999653	-0.00052945	0.099747	0.0
pl_sweep	79	rot	20000	0.999474	-0.000640541	0.0997929	0.0
pl_sweep	80	pdav-N	50000	0.99811	-0.000499843	0.0992109	-0.0
pl_sweep	80	mixed	30000	0.999651	0.000798134	0.0999499	0.0
pl_sweep	80	rot	20000	0.999476	7.38017e-05	0.0995669	0.0
pl_sweep	81	pdav-N	50000	0.998067	0.00032114	0.100336	-0.0
pl_sweep	81	mixed	30000	0.999658	-0.000396515	0.0989333	0.0
pl_sweep	81	rot	20000	0.999468	-0.000269752	0.100367	0.0
pl_sweep	82	pdav-N	50000	0.998055	-0.00045126	0.100637	-0.0
pl_sweep	82	mixed	30000	0.999653	-0.000103596	0.0997478	0.0
pl_sweep	82	rot	20000	0.999463	-0.000458121	0.100836	0.0
pl_sweep	83	pdav-N	50000	0.998074	-0.000802472	0.100145	-0.0
pl_sweep	83	mixed	30000	0.999652	-0.000160403	0.0998037	0.0
pl_sweep	83	rot	20000	0.999469	0.000801242	0.100226	0.0
pl_sweep	84	pdav-N	50000	0.998072	0.000328002	0.100186	-0.0
pl_sweep	84	mixed	30000	0.999648	-0.000480248	0.100455	0.0
pl_sweep	84	rot	20000	0.999473	0.000633831	0.099869	0.0
pl_sweep	85	pdav-N	50000	0.998076	-5.93074e-05	0.100099	-0.0
pl_sweep	85	mixed	30000	0.999651	-0.000523604	0.100028	0.0
pl_sweep	85	rot	20000	0.999462	0.000334224	0.100896	0.0
pl_sweep	86	pdav-N	50000	0.998067	0.000270242	0.100338	-0.0
pl_sweep	86	mixed	30000	0.999648	-0.000634341	0.100465	0.0
pl_sweep	86	rot	20000	0.999472	-0.00130702	0.0999418	0.0
pl_sweep	87	pdav-N	50000	0.998089	0.000821591	0.0997425	-0.0
pl_sweep	87	mixed	30000	0.999649	-0.000761826	0.100293	0.0
pl_sweep	87	rot	20000	0.999462	-0.000557225	0.100921	0.0
pl_sweep	88	pdav-N	50000	0.998072	0.00032883	0.100207	-0.0
pl_sweep	88	mixed	30000	0.999649	0.000233101	0.100346	0.0
pl_sweep	88	rot	20000	0.999475	-3.37165e-05	0.0996567	0.0
pl_sweep	89	pdav-N	50000	0.998097	0.000240488	0.099532	-0.0
pl_sweep	89	mixed	30000	0.999648	0.000150798	0.100488	0.0
pl_sweep	89	rot	20000	0.999473	-0.000143112	0.0998816	0.0
pl_sweep	90	pdav-N	50000	0.99806	0.00065167	0.100498	-0.0
pl_sweep	90	mixed	30000	0.999654	0.000334157	0.0995026	0.0
pl_sweep	90	rot	20000	0.999478	0.000493056	0.099427	0.0
pl_sweep	91	pdav-N	50000	0.998091	-0.00100445	0.0997027	-0.0
pl_sweep	91	mixed	30000	0.999654	0.000266547	0.0995422	0.0
pl_sweep	91	rot	20000	0.999475	0.000545434	0.0996927	0.0
pl_sweep	92	pdav-N	50000	0.998067	-0.000358562	0.100324	-0.0
pl_sweep	92	mixed	30000	0.999651	-0.000252931	0.0999625	0.0
pl_sweep	92	rot	20000	0.999474	0.00131494	0.0997673	0.0
pl_sweep	93	pdav-N	50000	0.998093	0.000298642	0.099642	-0.0
pl_sweep	93	mixed	30000	0.99965	0.00102746	0.10009	0.0
pl_sweep	93	rot	20000	0.999463	0.000744283	0.100857	0.0
pl_sweep	94	pdav-N	50000	0.998065	0.000215743	0.100378	-0.0
pl_sweep	94	mixed	30000	0.999649	-0.000461671	0.100227	0.0
pl_sweep	94	rot	20000	0.999471	0.000502082	0.100024	0.0
pl_sweep	95	pdav-N	50000	0.998082	0.000244421	0.0999377	-0.0
pl_sweep	95	mixed	30000	0.999656	3.91129e-05	0.0992947	0.0
pl_sweep	95	rot	20000	0.999476	3.58631e-05	0.0995468	0.0
pl_sweep	96	pdav-N	50000	0.998072	6.55476e-05	0.100197	-0.0
pl_sweep	96	mixed	30000	0.999645	-0.000736786	0.100786	0.0
pl_sweep	96	rot	20000	0.999467	-0.000470277	0.10041	0.0
pl_sweep	97	pdav-N	50000	0.998085	-0.000698466	0.0998479	-0.0
pl_sweep	97	mixed	30000	0.999652	-0.00016187	0.0997851	0.0
pl_sweep	97	rot	20000	0.999483	-0.000127547	0.0988965	0.0
pl_sweep	98	pdav-N	50000	0.998081	-0.000173438	0.0999547	-0.0
pl_sweep	98	mixed	30000	0.999654	-0.000377095	0.0996128	0.0
pl_sweep	98	rot	20000	0.999471	-0.000181391	0.100088	0.0
pl_sweep	99	pdav-N	50000	0.998092	-0.000660904	0.0996834	-0.0
pl_sweep	99	mixed	30000	0.999653	0.000190813	0.0996449	0.0
pl_sweep	99	rot	20000	0.999466	0.00187973	0.100482	0.0
pl_sweep	100	pdav-N	50000	0.998094	1.25806e-05	0.0996233	-0.0
pl_sweep	100	mixed	30000	0.999656	0.000205823	0.0992402	0.0
pl_sweep	100	rot	20000	0.999467	0.000169963	0.10046	0.0
pl_sweep	101	pdav-N	50000	0.998063	0.000205727	0.100427	-0.0
pl_sweep	101	mixed	30000	0.999651	0.000795122	0.0999577	0.0
pl_sweep	101	rot	20000	0.999483	0.00079741	0.0989028	0.0
pl_sweep	102	pdav-N	50000	0.998083	-0.000515806	0.0999164	-0.0
pl_sweep	102	mixed	30000	0.999654	-0.000266287	0.0995332	0.0
pl_sweep	102	rot	20000	0.999471	0.000126926	0.100073	0.0
pl_sweep	103	pdav-N	50000	0.998066	9.5088e-05	0.100354	-0.0
pl_sweep	103	mixed	30000	0.999654	0.000307778	0.0995797	0.0
pl_sweep	103	rot	20000	0.999466	-1.00132e-05	0.100577	0.0
pl_sweep	104	pdav-N	50000	0.998094	0.00047726	0.0996272	-0.0
pl_sweep	104	mixed	30000	0.999655	0.000368626	0.0994616	0.0
pl_sweep	104	rot	20000	0.999471	-0.000140682	0.100032	0.0
pl_sweep	105	pdav-N	50000	0.998091	-0.000231947	0.0997128	-0.0
pl_sweep	105	mixed	30000	0.999655	0.000386854	0.0994087	0.0
pl_sweep	105	rot	20000	0.999483	0.000208235	0.0989446	0.0
pl_sweep	106	pdav-N	50000	0.99807	-0.000152004	0.100243	-0.0
pl_sweep	106	mixed	30000	0.999653	9.57738e-05	0.099706	0.0
pl_sweep	106	rot	20000	0.999464	0.000707462	0.100694	0.0
pl_sweep	107	pdav-N	50000	0.998097	-9.87715e-06	0.0995508	-0.0
pl_sweep	107	mixed	30000	0.999653	0.00029033	0.0997762	0.0
pl_sweep	107	rot	20000	0.999477	-0.000646126	0.0994805	0.0
pl_sweep	108	pdav-N	50000	0.998076	0.000198029	0.100093	-0.0
pl_sweep	108	mixed	30000	0.999652	0.000350183	0.0997962	0.0
pl_sweep	108	rot	20000	0.999476	-0.000669592	0.0995883	0.0
pl_sweep	109	pdav-N	50000	0.998094	0.000810048	0.0996122	-0.0
pl_sweep	109	mixed	30000	0.999654	0.000946349	0.0995698	0.0
pl_sweep	109	rot	20000	0.99947	0.000477371	0.100163	0.0
pl_sweep	110	pdav-N	50000	0.998082	0.000236238	0.0999444	-0.0
pl_sweep	110	mixed	30000	0.999653	0.000853345	0.0997496	0.0
pl_sweep	110	rot	20000	0.999477	-0.00112379	0.0994759	0.0
pl_sweep	111	pdav-N	50000	0.998079	-0.00065849	0.100006	-0.0
pl_sweep	111	mixed	30000	0.999648	0.000113257	0.10044	0.0
pl_sweep	111	rot	20000	0.999471	0.00112736	0.100058	0.0
pl_sweep	112	pdav-N	50000	0.998085	0.000314639	0.0998677	-0.0
pl_sweep	112	mixed	30000	0.999646	-0.00135061	0.100718	0.0
pl_sweep	112	rot	20000	0.999476	0.000515277	0.099565	0.0
pl_sweep	113	pdav-N	50000	0.998077	0.000676849	0.100056	-0.0
pl_sweep	113	mixed	30000	0.999654	-0.000336002	0.0995952	0.0
pl_sweep	113	rot	20000	0.999478	-0.000130691	0.0993737	0.0
pl_sweep	114	pdav-N	50000	0.998076	0.00031433	0.100082	-0.0
pl_sweep	114	mixed	30000	0.999652	6.92275e-05	0.0998768	0.0
pl_sweep	114	rot	20000	0.999473	-0.00022367	0.0999092	0.0
pl_sweep	115	pdav-N	50000	0.998067	0.000467869	0.100314	-0.0
pl_sweep	115	mixed	30000	0.999648	0.000200526	0.100373	0.0
pl_sweep	115	rot	20000	0.999474	-0.00136895	0.0997916	0.0
pl_sweep	116	pdav-N	50000	0.998085	-9.85521e-05	0.0998671	-0.0
pl_sweep	116	mixed	30000	0.999647	0.000726235	0.100561	0.0
pl_sweep	116	rot	20000	0.999463	0.00032434	0.100857	0.0
pl_sweep	117	pdav-N	50000	0.998099	0.000943692	0.099489	-0.0
pl_sweep	117	mixed	30000	0.99965	0.000346436	0.100105	0.0
pl_sweep	117	rot	20000	0.999471	-0.000119897	0.100048	0.0
pl_sweep	118	pdav-N	50000	0.998082	-0.000265438	0.0999359	-0.0
pl_sweep	118	mixed	30000	0.999651	-0.000507295	0.0999563	0.0
pl_sweep	118	rot	20000	0.999472	-0.000881258	0.100003	0.0
pl_sweep	119	pdav-N	50000	0.998057	9.7424e-05	0.100582	-0.0
pl_sweep	119	mixed	30000	0.999653	0.000973563	0.0997482	0.0
pl_sweep	119	rot	20000	0.99947	-0.001093	0.100199	0.0
pl_sweep	120	pdav-N	50000	0.998062	0.000364326	0.100446	-0.0
pl_sweep	120	mixed	30000	0.999654	0.000660808	0.0995909	0.0
pl_sweep	120	rot	20000	0.999477	-0.000675268	0.0994744	0.0
pl_sweep	121	pdav-N	50000	0.998091	0.0001638	0.099703	-0.0
pl_sweep	121	mixed	30000	0.999652	-0.00050314	0.0998703	0.0
pl_sweep	121	rot	20000	0.999479	-1.7523e-05	0.0993311	0.0
pl_sweep	122	pdav-N	50000	0.998088	0.00055885	0.0997789	-0.0
pl_sweep	122	mixed	30000	0.999652	0.000381833	0.0998615	0.0
pl_sweep	122	rot	20000	0.999473	-0.00137397	0.0998329	0.0
